Table 1.1. U.S. International Transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Millions of dollars] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: September 18, 2020 - Next Release Date: December 18, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Line, ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted ,Not seasonally adjusted,Not seasonally adjusted
 Line, ,1960,1960,1960,1960,1961 ,1961 ,1961 ,1961 ,1962,1962,1962,1962,1963 ,1963 ,1963 ,1963 ,1964,1964,1964,1964,1965 ,1965 ,1965 ,1965 ,1966,1966,1966,1966,1967 ,1967 ,1967 ,1967 ,1968,1968,1968,1968,1969 ,1969 ,1969 ,1969 ,1970,1970,1970,1970,1971 ,1971 ,1971 ,1971 ,1972,1972,1972,1972,1973 ,1973 ,1973 ,1973 ,1974,1974,1974,1974,1975 ,1975 ,1975 ,1975 ,1976,1976,1976,1976,1977 ,1977 ,1977 ,1977 ,1978,1978,1978,1978,1979 ,1979 ,1979 ,1979 ,1980,1980,1980,1980,1981 ,1981 ,1981 ,1981 ,1982,1982,1982,1982,1983 ,1983 ,1983 ,1983 ,1984,1984,1984,1984,1985 ,1985 ,1985 ,1985 ,1986,1986,1986,1986,1987 ,1987 ,1987 ,1987 ,1988,1988,1988,1988,1989 ,1989 ,1989 ,1989 ,1990,1990,1990,1990,1991 ,1991 ,1991 ,1991 ,1992,1992,1992,1992,1993 ,1993 ,1993 ,1993 ,1994,1994,1994,1994,1995 ,1995 ,1995 ,1995 ,1996,1996,1996,1996,1997 ,1997 ,1997 ,1997 ,1998,1998,1998,1998,1999 ,1999 ,1999 ,1999 ,2000,2000,2000,2000,2001 ,2001 ,2001 ,2001 ,2002,2002,2002,2002,2003 ,2003 ,2003 ,2003 ,2004,2004,2004,2004,2005 ,2005 ,2005 ,2005 ,2006,2006,2006,2006,2007 ,2007 ,2007 ,2007 ,2008,2008,2008,2008,2009 ,2009 ,2009 ,2009 ,2010,2010,2010,2010,2011 ,2011 ,2011 ,2011 ,2012,2012,2012,2012,2013 ,2013 ,2013 ,2013 ,2014,2014,2014,2014,2015 ,2015 ,2015 ,2015 ,2016,2016,2016,2016,2017 ,2017 ,2017 ,2017 ,2018,2018,2018,2018,2019 ,2019 ,2019 ,2019 ,2020,2020
 Line, ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 ,Q3,Q4 ,Q1,Q2 
 ,Current account, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Exports of goods and services and income receipts (credits),7219,7965,7372,7999,7673,8001,7455,8274,7870,8968,7920,8582,8244,9499,8434,9599,9702,10214,9580,10668,9418,11559,10375,11370,10873,12061,11220,12300,12149,12657,11844,12704,12770,14039,13794,14309,12687,15956,15043,16447,16230,17973,16827,17358,17847,18800,18061,17675,19612,20105,19906,22364,24601,27917,28016,32517,34663,38318,35692,39811,39631,39752,36751,41802,40669,43578,42139,45704,44416,48199,45239,46803,48673,55615,53747,62480,64620,70081,71728,81538,85439,85217,83241,90543,94687,97783,92564,95894,94897,98350,90403,88107,87929,89839,88962,95407,97945,102982,101793,104013,99583,100026,94539,99969,101776,104540,101347,105169,106549,113930,116252,125741,136808,142414,142706,150888,156637,166739,162220,167791,172873,177593,174648,187014,182222,184186,180658,186604,187459,189762,186828,191915,191467,196116,193722,203164,203840,214056,221277,233528,241375,250502,254281,261890,264093,267443,264917,284679,286638,301047,301659,306466,300587,300376,291860,306595,308351,323156,331573,350368,353384,374020,375899,382816,362874,356298,328764,320204,319035,340454,341987,344029,339702,354484,357628,385334,393825,414069,414028,439181,450621,468654,472581,501296,513073,552984,553736,584424,583068,631022,652010,681835,682750,721227,711591,638809,548609,563274,586709,632577,626093,664581,679255,717528,716589,765298,776414,778374,768616,787962,787132,807487,782615,811773,814508,841861,811251,858878,852992,855979,791217,827128,814350,803654,765510,807677,819233,843022,839488,868770,897418,936333,914243,963761,948642,966221,924653,961888,957388,962008,879515,689933
2,  Exports of goods and services,6120,6835,6237,6747,6455,6797,6228,6923,6629,7593,6554,6946,6764,8007,6928,7921,8020,8526,7883,8911,7584,9620,8556,9525,9093,10198,9387,10248,10236,10732,9829,10536,10615,11710,11442,11777,10166,13272,12312,13470,13308,14935,13903,14494,14873,15603,14955,14246,16183,16475,16415,18150,19998,22653,22563,26028,27809,31178,28984,32926,33597,33761,30752,34475,33702,36197,35044,37773,36717,40095,37331,38159,39112,45680,44158,49478,50990,55018,55394,62730,65063,69037,66712,71023,73879,76018,71412,73090,71202,72769,66650,64614,65923,66555,64779,68849,70678,73813,72242,74361,73203,73498,69602,72768,74525,78641,76934,79934,80735,86006,88087,94041,102822,108295,108155,111878,116401,124460,121456,124686,129691,134397,132412,138734,138434,145535,144126,150248,151811,153766,153275,158030,156845,161042,158318,166658,165898,173661,177787,185908,189594,196447,201365,206981,207521,211677,208045,224359,222951,234736,235077,241689,232769,232119,226633,241653,230980,240736,244407,260402,256591,272148,275107,279117,266291,264686,244034,240355,234629,250644,247940,252882,244070,253064,254790,276262,277483,292801,289918,307917,305799,324493,320656,340554,342574,368458,365911,387047,383185,409715,420319,447597,446614,482703,482460,437809,368569,383435,401597,439191,431149,460042,473008,508122,502420,539071,548502,553559,544472,565895,558101,578985,554292,579243,578154,601548,571727,605499,603415,611627,556095,583585,571786,568276,527372,560462,568903,581186,566550,594405,597714,628721,611038,647210,636253,644882,613726,638815,631666,644055,589677,446240
3,    Goods,4664,5058,4736,5192,5062,4970,4719,5357,5057,5513,4960,5251,5019,5772,5272,6209,6206,6359,5987,6949,5647,7092,6383,7339,7091,7401,7005,7813,7638,7966,7190,7872,7940,8644,8310,8732,7443,9865,8936,10170,10247,11149,10141,10932,11031,11341,10855,10092,11916,12074,11619,13772,15610,17642,17220,20938,22767,25295,23154,27090,27262,26850,24638,28338,27301,29419,27433,30592,29417,32092,28993,30314,30666,36772,34534,40103,41662,45172,44957,52648,54468,57401,53528,58853,60356,61682,55856,59150,55259,56685,50078,49135,49633,50598,48052,53516,53657,55991,53443,56835,55338,55553,50701,54323,54037,58017,53730,57560,57646,61683,61614,69265,77006,81222,77852,84150,86849,94042,86863,92162,95820,99206,92460,99915,101408,105772,99438,107465,108897,110683,105587,114464,112161,115764,108267,120751,118792,124955,123800,135312,138769,144742,141105,150588,151602,154006,145526,160979,162328,172087,166183,177768,170134,167707,157823,174752,166944,172435,170345,188800,188078,197177,196555,203130,195640,191128,170674,173889,167611,178889,173392,178143,175776,181802,177447,195421,197570,207467,202647,215900,216722,231823,224439,240032,246198,263162,259111,272434,272304,289229,291785,311833,319810,345338,342707,300940,249584,255234,267500,298013,299749,318047,321391,351091,355244,377577,378134,387931,385886,395474,382646,398625,386844,400853,391943,414067,395935,414337,408318,416973,374768,390159,373999,372455,347952,364956,364621,379864,375105,386764,384279,410855,405426,432317,416103,423104,410239,417456,408029,416713,397425,291826
4,    Services,1456,1777,1501,1555,1393,1827,1509,1566,1572,2080,1594,1695,1745,2235,1656,1712,1814,2167,1896,1962,1937,2528,2173,2186,2002,2797,2382,2435,2598,2766,2639,2664,2675,3066,3132,3045,2723,3407,3376,3300,3061,3786,3762,3562,3842,4262,4100,4154,4267,4401,4796,4378,4388,5011,5343,5090,5042,5883,5830,5836,6335,6911,6114,6137,6401,6778,7611,7181,7300,8003,8338,7845,8446,8908,9624,9375,9328,9846,10437,10082,10595,11636,13184,12170,13523,14336,15556,13940,15943,16084,16572,15479,16290,15957,16727,15333,17021,17822,18799,17526,17865,17945,18901,18445,20488,20624,23204,22374,23089,24323,26473,24776,25816,27073,30303,27728,29552,30418,34593,32524,33871,35191,39952,38819,37026,39763,44688,42783,42914,43083,47688,43566,44684,45278,50051,45907,47106,48706,53987,50596,50825,51705,60260,56393,55919,57671,62519,63380,60623,62649,68894,63921,62635,64412,68810,66901,64036,68300,74062,71602,68513,74971,78553,75986,70651,73558,73360,66466,67018,71755,74548,74739,68294,71262,77343,80841,79913,85334,87271,92018,89078,92670,96217,100522,96376,105296,106800,114614,110880,120486,128534,135764,126805,137365,139753,136869,118985,128202,134096,141178,131399,141995,151616,157030,147177,161494,170368,165627,158586,170421,175456,180360,167449,178390,186210,187480,175792,191162,195096,194654,181327,193426,197787,195821,179420,195507,204282,201322,191445,207641,213435,217866,205612,214894,220150,221778,203487,221359,223637,227342,192252,154415
5,  Primary income receipts,1099,1130,1135,1252,1218,1204,1227,1351,1241,1375,1366,1636,1480,1492,1506,1678,1682,1688,1697,1757,1834,1939,1819,1845,1780,1863,1833,2052,1913,1925,2015,2168,2155,2329,2352,2532,2521,2684,2731,2977,2922,3038,2924,2864,2974,3197,3106,3429,3429,3630,3491,4214,4603,5264,5453,6489,6854,7140,6708,6885,6034,5991,5999,7327,6967,7381,7095,7931,7699,8104,7908,8644,9561,9935,9589,13002,13630,15063,16334,18808,20376,16180,16529,19520,20808,21765,21152,22804,23695,25581,23753,23493,22006,23284,24183,26558,27267,29169,29551,29652,26380,26528,24937,27201,27251,25899,24413,25235,25814,27924,28165,31700,33986,34119,34551,39010,40236,42279,40764,43105,43182,43196,42236,48280,43788,38651,36532,36356,35648,35996,33553,33885,34622,35074,35404,36506,37942,40395,43490,47620,51781,54055,52916,54909,56572,55766,56872,60320,63687,66311,66582,64777,67818,68257,65227,64942,69593,73342,78499,81105,87412,92900,91408,93892,86781,81484,74310,68789,72471,76937,80282,76702,81572,85395,86833,93130,101551,106920,109526,114842,125778,130328,135766,144422,151771,167370,171896,178882,184427,204659,213417,214436,217457,218276,208544,175968,157614,158185,165034,172390,173803,181036,183185,185198,190449,201099,202070,197852,198541,195135,199806,198198,197460,202778,204891,206432,205531,209902,218088,212405,202489,209126,210936,202549,204287,212552,215433,225547,230572,238294,257009,271649,268446,279982,274708,285337,275983,287775,288335,283598,254790,209614
