"Table 1.1.6. Real Gross Domestic Product, Chained Dollars"
"[Billions of chained (2012) dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: January 30, 2020 - Next Release Date February 27, 2020"
"Line","","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018","2019","2019","2019","2019"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4"
"1","        Gross domestic product",4936.6,4943.6,4989.2,4935.7,5069.7,5097.2,5139.1,5151.2,5246.0,5365.0,5415.7,5506.4,5642.7,5704.1,5674.1,5728.0,5678.7,5692.2,5638.4,5616.5,5548.2,5587.8,5683.4,5760.0,5889.5,5932.7,5965.3,6008.5,6079.5,6197.7,6309.5,6309.7,6329.8,6574.4,6640.5,6729.8,6741.9,6749.1,6799.2,6816.2,6837.6,6696.8,6688.8,6813.5,6947.0,6895.6,6978.1,6902.1,6794.9,6825.9,6799.8,6802.5,6892.1,7049.0,7189.9,7339.9,7483.4,7612.7,7686.1,7749.2,7824.2,7893.1,8013.7,8073.2,8148.6,8185.3,8263.6,8308.0,8369.9,8460.2,8533.6,8680.2,8725.0,8839.6,8891.4,9009.9,9101.5,9171.0,9238.9,9257.1,9358.3,9392.3,9398.5,9312.9,9269.4,9341.6,9388.8,9421.6,9534.3,9637.7,9733.0,9834.5,9851.0,9908.3,9955.6,10091.0,10189.0,10327.0,10387.4,10506.4,10543.6,10575.1,10665.1,10737.5,10817.9,10998.3,11097.0,11212.2,11284.6,11472.1,11615.6,11715.4,11832.5,11942.0,12091.6,12287.0,12403.3,12498.7,12662.4,12877.6,12924.2,13160.8,13178.4,13260.5,13222.7,13300.0,13244.8,13280.9,13397.0,13478.2,13538.1,13559.0,13634.3,13751.5,13985.1,14145.6,14221.1,14329.5,14465.0,14609.9,14771.6,14839.8,14972.1,15066.6,15267.0,15302.7,15326.4,15456.9,15493.3,15582.1,15666.7,15762.0,15671.4,15752.3,15667.0,15328.0,15155.9,15134.1,15189.2,15356.1,15415.1,15557.3,15672.0,15750.6,15712.8,15825.1,15820.7,16004.1,16129.4,16198.8,16220.7,16239.1,16383.0,16403.2,16531.7,16663.6,16616.5,16841.5,17047.1,17143.0,17277.6,17405.7,17463.2,17468.9,17556.8,17639.4,17735.1,17824.2,17925.3,18021.0,18163.6,18322.5,18438.3,18598.1,18732.7,18783.5,18927.3,19021.9,19121.1,19219.8
"2","Personal consumption expenditures",3065.1,3079.0,3106.0,3097.5,3157.0,3186.0,3211.4,3264.7,3307.8,3370.7,3422.7,3503.0,3567.0,3565.3,3577.9,3567.2,3535.3,3548.0,3563.3,3511.2,3540.6,3598.9,3650.0,3689.3,3763.0,3797.7,3837.7,3887.4,3933.3,3954.6,3992.0,4052.0,4074.8,4161.9,4179.4,4213.1,4234.9,4232.2,4273.3,4284.0,4277.9,4181.5,4227.4,4284.5,4298.8,4299.2,4319.0,4289.5,4321.1,4334.3,4363.3,4439.7,4483.6,4574.9,4657.0,4731.2,4770.5,4837.3,4873.2,4936.3,5020.2,5066.3,5162.5,5173.6,5218.9,5275.7,5369.0,5402.0,5407.4,5481.2,5543.7,5555.5,5653.6,5695.3,5745.9,5811.3,5838.2,5865.5,5922.3,5948.0,5998.1,6016.3,6040.2,5994.2,5971.7,6021.2,6051.2,6048.2,6161.4,6203.2,6269.7,6344.4,6368.8,6426.7,6498.2,6555.3,6630.3,6681.8,6732.8,6805.6,6822.5,6882.3,6944.7,6993.1,7057.6,7133.6,7176.8,7233.9,7310.2,7343.1,7468.2,7557.4,7633.9,7768.3,7869.6,7983.3,8060.8,8178.3,8270.6,8391.8,8520.7,8603.0,8687.5,8762.2,8797.3,8818.1,8848.3,8980.6,9008.1,9054.3,9119.9,9172.4,9215.5,9319.0,9455.7,9519.8,9604.5,9664.3,9771.1,9877.4,9935.0,10047.8,10145.3,10175.4,10288.9,10341.0,10403.8,10504.5,10563.3,10582.8,10642.5,10672.8,10644.4,10661.7,10581.9,10483.4,10459.7,10417.3,10489.2,10473.6,10525.4,10609.1,10683.3,10754.0,10799.7,10823.7,10866.0,10885.9,10973.3,10989.6,11007.5,11056.9,11114.2,11122.2,11167.4,11263.6,11308.0,11431.8,11554.8,11695.0,11792.1,11886.0,11976.6,12030.2,12124.2,12211.3,12289.1,12365.3,12438.9,12512.9,12586.3,12729.7,12782.9,12909.2,13019.8,13066.3,13103.3,13250.0,13353.1,13411.9
"3","    Goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2920.5,2928.6,2964.8,2976.6,2993.0,3058.2,3144.2,3172.5,3208.2,3219.3,3264.4,3308.1,3333.4,3382.7,3414.9,3407.7,3478.3,3483.3,3514.0,3563.2,3588.2,3596.6,3619.3,3626.4,3566.8,3561.5,3486.8,3380.5,3381.4,3359.6,3418.2,3399.9,3425.5,3472.2,3498.3,3546.9,3564.6,3551.5,3552.7,3578.4,3623.8,3623.1,3639.1,3665.0,3728.0,3730.7,3757.4,3792.8,3818.1,3886.7,3931.5,3984.4,4028.8,4072.9,4118.8,4133.7,4176.2,4222.4,4263.8,4284.2,4318.2,4375.9,4419.7,4499.8,4513.9,4573.5,4614.0,4631.8,4649.2,4746.4,4808.0,4822.8
"4","        Durable goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",806.1,811.2,835.5,827.9,828.6,866.3,904.6,917.7,933.7,936.1,960.3,978.5,983.1,1009.3,1029.0,998.2,1037.9,1038.3,1053.2,1068.0,1082.4,1093.7,1107.1,1115.4,1079.3,1071.7,1035.5,959.3,961.0,954.0,1000.3,976.7,988.7,1019.8,1035.9,1064.9,1074.2,1066.6,1076.1,1101.8,1128.8,1130.9,1145.6,1171.6,1201.6,1207.1,1217.3,1230.3,1249.9,1294.8,1318.3,1343.3,1365.7,1395.2,1413.1,1421.1,1441.3,1466.0,1504.1,1525.4,1538.3,1567.0,1596.9,1643.5,1652.8,1685.1,1699.8,1705.2,1706.3,1759.3,1793.9,1803.2
"5","        Nondurable goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2148.2,2149.7,2153.3,2179.1,2196.7,2214.3,2255.2,2268.1,2285.5,2294.7,2311.1,2334.7,2356.6,2375.3,2384.1,2417.5,2442.3,2447.2,2461.3,2495.5,2503.9,2498.7,2506.5,2504.5,2485.1,2488.9,2452.6,2429.2,2428.3,2413.7,2421.4,2429.1,2442.1,2455.5,2464.6,2483.0,2491.3,2486.0,2477.5,2476.9,2495.0,2492.2,2493.4,2493.5,2526.6,2524.0,2540.5,2562.8,2568.8,2593.6,2615.2,2643.6,2665.9,2681.2,2709.2,2716.4,2738.9,2760.7,2765.2,2765.2,2786.4,2816.1,2831.3,2866.7,2872.0,2900.8,2926.6,2938.9,2954.6,3001.3,3030.0,3036.0
"6","    Services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",6097.6,6137.0,6164.3,6205.5,6231.6,6266.0,6312.5,6347.7,6396.0,6445.6,6506.6,6568.5,6600.3,6662.8,6728.1,6766.7,6807.4,6855.2,6886.7,6937.4,6971.0,6982.1,7019.0,7042.3,7075.2,7098.1,7094.7,7103.8,7078.7,7057.5,7070.7,7073.4,7099.8,7137.1,7185.2,7207.4,7235.2,7272.3,7313.5,7307.5,7349.4,7366.4,7368.5,7392.0,7386.8,7392.2,7411.0,7471.9,7491.5,7547.9,7626.3,7713.9,7767.6,7818.5,7864.8,7903.1,7955.8,7998.9,8037.2,8092.2,8133.0,8154.1,8186.6,8254.9,8293.5,8362.9,8433.6,8462.6,8483.1,8541.4,8587.9,8630.9
"7","Gross private domestic investment",576.0,577.2,586.6,555.5,620.2,637.8,645.5,628.2,669.6,707.6,717.6,722.1,764.5,797.0,768.1,795.5,750.1,747.1,708.4,712.7,597.9,580.1,625.0,642.5,704.5,732.4,734.9,740.4,774.7,830.3,872.3,850.4,867.0,923.3,950.2,972.1,973.8,972.9,956.5,939.5,933.1,853.8,797.4,871.7,952.4,912.9,964.4,930.4,842.4,841.8,834.1,769.6,796.3,866.8,921.1,1010.7,1108.3,1144.4,1169.1,1154.0,1122.3,1141.4,1133.7,1175.5,1175.1,1154.6,1123.5,1126.9,1157.3,1157.9,1158.1,1237.0,1177.6,1205.7,1212.4,1230.9,1272.6,1260.3,1249.0,1239.7,1252.1,1252.4,1228.2,1159.5,1120.9,1120.9,1143.1,1183.6,1161.7,1227.4,1237.2,1274.9,1305.0,1312.5,1303.6,1372.1,1424.4,1494.4,1470.0,1530.5,1546.5,1514.4,1505.4,1542.8,1567.6,1642.9,1717.5,1715.2,1749.9,1857.0,1883.0,1911.0,1994.4,1982.1,2033.0,2095.8,2153.3,2154.7,2213.8,2273.1,2257.1,2390.7,2367.3,2371.8,2264.2,2267.4,2218.4,2108.5,2170.7,2206.4,2203.1,2201.7,2218.7,2234.0,2315.4,2393.4,2398.2,2493.9,2532.6,2585.5,2658.2,2622.8,2657.5,2743.8,2784.6,2766.6,2756.0,2702.5,2683.9,2713.5,2686.1,2653.1,2583.3,2536.4,2485.5,2246.4,1986.8,1872.3,1868.0,2040.7,2087.2,2196.7,2294.7,2287.4,2244.2,2336.1,2343.8,2524.4,2577.2,2636.5,2648.5,2624.9,2722.8,2753.2,2859.8,2870.1,2838.3,2958.1,3018.6,3021.9,3116.5,3118.9,3114.8,3067.1,3054.7,3041.6,3045.5,3114.0,3140.3,3167.9,3225.2,3262.1,3311.8,3296.6,3404.2,3429.5,3481.1,3424.7,3416.2,3363.0
"8","    Fixed investment","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2189.1,2186.7,2183.5,2174.3,2194.0,2246.8,2319.7,2361.9,2355.4,2419.8,2471.2,2516.3,2560.4,2603.8,2649.3,2661.2,2711.2,2696.6,2679.3,2660.3,2658.1,2670.6,2655.4,2629.9,2589.1,2567.9,2503.0,2337.8,2151.9,2073.9,2081.6,2092.0,2091.0,2167.1,2178.7,2220.0,2216.2,2268.0,2363.3,2423.7,2499.4,2549.8,2553.6,2599.4,2643.9,2665.3,2711.3,2748.0,2775.6,2852.8,2907.3,2941.2,2943.1,2964.7,2988.2,2971.9,2991.0,3010.9,3038.9,3053.7,3111.1,3133.0,3144.1,3210.7,3254.0,3295.4,3301.3,3323.0,3349.4,3337.4,3330.5,3331.0
"9","        Nonresidential","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1492.6,1475.8,1471.0,1451.2,1458.4,1498.7,1530.5,1549.8,1534.4,1572.8,1617.8,1651.0,1675.0,1702.0,1737.5,1750.9,1809.7,1841.3,1872.9,1892.7,1926.8,1969.6,2000.5,2031.3,2039.4,2043.5,2005.4,1888.6,1746.3,1693.2,1683.3,1694.5,1706.4,1762.3,1810.1,1845.2,1842.7,1890.4,1978.9,2029.4,2081.3,2128.0,2120.9,2144.0,2171.6,2177.5,2214.7,2260.0,2291.7,2353.3,2400.8,2415.5,2406.1,2413.2,2420.4,2393.2,2389.8,2413.6,2446.8,2451.2,2490.5,2517.4,2532.6,2584.2,2639.5,2689.9,2703.9,2735.8,2765.6,2758.5,2742.7,2732.4
"10","            Structures","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",506.9,479.4,456.9,450.9,448.1,460.2,458.6,459.5,450.3,453.3,460.7,461.1,467.3,465.4,463.4,468.2,485.7,500.7,510.1,510.3,529.4,558.8,585.6,600.6,603.3,613.3,609.6,595.5,551.3,509.0,474.3,434.1,405.1,416.8,410.7,418.6,387.8,414.8,439.4,454.5,476.0,487.4,481.8,472.5,462.1,475.8,499.8,504.2,521.9,540.3,542.2,551.0,538.3,540.2,520.0,491.1,476.4,487.9,509.0,512.1,521.1,523.7,513.3,519.9,534.9,549.1,546.2,533.4,538.6,523.0,509.6,496.2
"11","            Equipment","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",610.0,607.1,612.9,601.2,603.4,627.2,647.6,659.0,650.6,678.4,701.9,723.4,730.0,748.2,775.4,786.2,821.1,830.5,837.2,841.7,853.4,865.3,869.7,874.8,870.0,859.5,832.5,735.7,653.7,627.8,643.7,673.5,721.1,768.1,809.5,825.9,846.3,858.0,909.7,930.7,959.6,986.7,983.8,1003.4,1021.1,1019.0,1019.0,1057.9,1066.9,1093.6,1127.0,1116.9,1126.2,1130.4,1152.0,1137.9,1126.5,1120.0,1120.9,1122.0,1139.3,1163.8,1181.4,1217.8,1237.5,1247.8,1256.7,1279.2,1278.9,1281.5,1269.3,1259.9
"12","            Intellectual property products","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",417.3,421.6,424.6,422.6,428.9,433.1,441.8,447.0,447.8,452.1,464.3,472.7,484.1,492.2,499.1,497.0,503.1,511.8,528.0,543.1,547.7,551.4,553.3,565.0,575.5,581.1,574.4,570.3,554.7,568.6,574.5,591.9,581.9,579.0,590.3,601.3,607.4,617.4,629.9,644.3,645.7,653.9,655.2,668.0,688.6,682.9,695.8,698.1,702.5,718.5,731.4,746.6,741.5,742.5,750.5,768.3,792.0,809.8,819.2,819.2,831.8,832.3,842.3,852.0,872.0,896.9,905.9,931.3,955.6,964.2,975.2,989.3
