DATE,INDPRO
11/1/1970,37.4873
12/1/1970,38.3482
1/1/1971,38.6432
2/1/1971,38.5695
3/1/1971,38.5278
4/1/1971,38.7441
5/1/1971,38.9407
6/1/1971,39.104
7/1/1971,38.9905
8/1/1971,38.7642
9/1/1971,39.3942
10/1/1971,39.6891
11/1/1971,39.8576
12/1/1971,40.3177
1/1/1972,41.2876
2/1/1972,41.6865
3/1/1972,41.9746
4/1/1972,42.4183
5/1/1972,42.3963
6/1/1972,42.5166
7/1/1972,42.498
8/1/1972,43.0629
9/1/1972,43.3918
10/1/1972,43.9718
11/1/1972,44.4919
12/1/1972,45.0015
1/1/1973,45.2942
2/1/1973,45.9656
3/1/1973,45.9872
4/1/1973,45.9237
5/1/1973,46.2192
6/1/1973,46.2509
7/1/1973,46.4421
8/1/1973,46.3648
9/1/1973,46.7803
10/1/1973,47.0954
11/1/1973,47.3445
12/1/1973,47.2315
1/1/1974,46.8994
2/1/1974,46.7538
3/1/1974,46.7685
4/1/1974,46.6069
5/1/1974,46.9743
6/1/1974,46.9233
7/1/1974,46.9464
8/1/1974,46.4907
9/1/1974,46.5136
10/1/1974,46.3401
11/1/1974,44.8209
12/1/1974,43.234
1/1/1975,42.6409
2/1/1975,41.6602
3/1/1975,41.2135
4/1/1975,41.246
5/1/1975,41.1515
6/1/1975,41.4224
7/1/1975,41.8234
8/1/1975,42.2573
9/1/1975,42.7796
10/1/1975,42.9687
11/1/1975,43.0614
12/1/1975,43.5973
1/1/1976,44.2288
2/1/1976,44.6725
3/1/1976,44.7125
4/1/1976,44.9643
5/1/1976,45.1741
6/1/1976,45.183
7/1/1976,45.4535
8/1/1976,45.7737
9/1/1976,45.9031
10/1/1976,45.9207
11/1/1976,46.5978
12/1/1976,47.0854
1/1/1977,46.8276
2/1/1977,47.5417
3/1/1977,48.131
4/1/1977,48.5838
5/1/1977,48.9891
6/1/1977,49.3428
7/1/1977,49.412
8/1/1977,49.4259
9/1/1977,49.6639
10/1/1977,49.7592
11/1/1977,49.8117
12/1/1977,49.8949
1/1/1978,49.2066
2/1/1978,49.4502
3/1/1978,50.3928
4/1/1978,51.4368
5/1/1978,51.6276
6/1/1978,51.9833
7/1/1978,51.9592
8/1/1978,52.1543
9/1/1978,52.286
10/1/1978,52.7054
11/1/1978,53.1047
12/1/1978,53.3886
1/1/1979,53.0453
2/1/1979,53.3303
3/1/1979,53.4973
4/1/1979,52.8938
5/1/1979,53.3187
6/1/1979,53.3157
7/1/1979,53.2433
8/1/1979,52.8899
9/1/1979,52.9486
10/1/1979,53.239
11/1/1979,53.1918
12/1/1979,53.2603
1/1/1980,53.5037
2/1/1980,53.5053
3/1/1980,53.3294
4/1/1980,52.2336
5/1/1980,50.9638
6/1/1980,50.3348
7/1/1980,49.9462
8/1/1980,50.1256
9/1/1980,50.9386
10/1/1980,51.5813
11/1/1980,52.4717
12/1/1980,52.7685
1/1/1981,52.4668
2/1/1981,52.226
3/1/1981,52.5025
4/1/1981,52.2691
5/1/1981,52.5803
6/1/1981,52.8284
7/1/1981,53.1751
8/1/1981,53.1679
9/1/1981,52.8514
10/1/1981,52.4949
11/1/1981,51.894
12/1/1981,51.3274
1/1/1982,50.3043
2/1/1982,51.3016
3/1/1982,50.9104
4/1/1982,50.4627
5/1/1982,50.138
6/1/1982,49.9692
7/1/1982,49.8138
8/1/1982,49.3773
9/1/1982,49.226
10/1/1982,48.7874
11/1/1982,48.592
12/1/1982,48.2424
1/1/1983,49.1762
2/1/1983,48.8688
3/1/1983,49.2654
4/1/1983,49.8675
5/1/1983,50.2084
6/1/1983,50.5089
7/1/1983,51.2733
8/1/1983,51.8454
9/1/1983,52.6303
10/1/1983,53.0679
11/1/1983,53.2534
12/1/1983,53.5343
1/1/1984,54.6008
2/1/1984,54.835
3/1/1984,55.1052
4/1/1984,55.4514
5/1/1984,55.7141
6/1/1984,55.9085
7/1/1984,56.0842
8/1/1984,56.1376
9/1/1984,56.0382
10/1/1984,55.9459
11/1/1984,56.1667
12/1/1984,56.2296
1/1/1985,56.1398
2/1/1985,56.3323
3/1/1985,56.4232
4/1/1985,56.2693
5/1/1985,56.3488
6/1/1985,56.3901
7/1/1985,56.0234
8/1/1985,56.2555
9/1/1985,56.4983
10/1/1985,56.2648
11/1/1985,56.4549
12/1/1985,57.0458
1/1/1986,57.3104
2/1/1986,56.9344
3/1/1986,56.542
4/1/1986,56.5599
5/1/1986,56.6823
6/1/1986,56.4976
7/1/1986,56.814
8/1/1986,56.7381
9/1/1986,56.8532
10/1/1986,57.1191
11/1/1986,57.3792
12/1/1986,57.8623
1/1/1987,57.685
2/1/1987,58.4399
3/1/1987,58.516
4/1/1987,58.8851
5/1/1987,59.2653
6/1/1987,59.5409
7/1/1987,59.9536
8/1/1987,60.4517
9/1/1987,60.6069
10/1/1987,61.491
11/1/1987,61.8137
12/1/1987,62.119
1/1/1988,62.1469
2/1/1988,62.4169
3/1/1988,62.5418
4/1/1988,62.8959
5/1/1988,62.8223
6/1/1988,62.9823
7/1/1988,63.0093
8/1/1988,63.2723
9/1/1988,63.099
10/1/1988,63.4122
11/1/1988,63.5128
12/1/1988,63.8233
1/1/1989,64.0153
2/1/1989,63.7242
3/1/1989,63.8691
4/1/1989,63.9124
5/1/1989,63.4884
6/1/1989,63.5187
7/1/1989,62.9354
8/1/1989,63.5168
9/1/1989,63.2954
10/1/1989,63.2542
11/1/1989,63.4616
12/1/1989,63.8467
1/1/1990,63.4228
2/1/1990,64.0446
3/1/1990,64.358
4/1/1990,64.2602
5/1/1990,64.3973
6/1/1990,64.6041
7/1/1990,64.5205
8/1/1990,64.7326
9/1/1990,64.8145
10/1/1990,64.3274
11/1/1990,63.5753
12/1/1990,63.1594
1/1/1991,62.8852
2/1/1991,62.4462
3/1/1991,62.119
4/1/1991,62.2415
5/1/1991,62.8646
6/1/1991,63.4372
7/1/1991,63.5128
8/1/1991,63.5671
9/1/1991,64.133
10/1/1991,64.0213
11/1/1991,63.948
12/1/1991,63.6937
1/1/1992,63.3374
2/1/1992,63.7911
3/1/1992,64.3212
4/1/1992,64.8088
5/1/1992,65.0202
6/1/1992,65.0295
7/1/1992,65.6172
8/1/1992,65.2943
9/1/1992,65.446
10/1/1992,65.9369
11/1/1992,66.2174
12/1/1992,66.2772
1/1/1993,66.5643
2/1/1993,66.8594
3/1/1993,66.7658
4/1/1993,67
5/1/1993,66.7674
6/1/1993,66.8781
7/1/1993,67.0845
8/1/1993,67.014
9/1/1993,67.3345
10/1/1993,67.8515
11/1/1993,68.1326
12/1/1993,68.5054
1/1/1994,68.7648
2/1/1994,68.7836
3/1/1994,69.4766
4/1/1994,69.8703
5/1/1994,70.2281
6/1/1994,70.6763
7/1/1994,70.7846
8/1/1994,71.2053
9/1/1994,71.4767
10/1/1994,72.082
11/1/1994,72.5263
12/1/1994,73.2879
1/1/1995,73.4219
2/1/1995,73.3025
3/1/1995,73.4081
4/1/1995,73.3612
5/1/1995,73.6104
6/1/1995,73.8602
7/1/1995,73.5664
8/1/1995,74.495
9/1/1995,74.7937
10/1/1995,74.7017
11/1/1995,74.8897
12/1/1995,75.1755
1/1/1996,74.6841
2/1/1996,75.8344
3/1/1996,75.7631
4/1/1996,76.4562
5/1/1996,77.0161
6/1/1996,77.6669
7/1/1996,77.5662
8/1/1996,78.016
9/1/1996,78.5532
10/1/1996,78.5065
11/1/1996,79.1996
12/1/1996,79.7143
1/1/1997,79.8273
2/1/1997,80.793
3/1/1997,81.334
4/1/1997,81.3531
5/1/1997,81.8293
6/1/1997,82.2285
7/1/1997,82.8557
8/1/1997,83.7214
9/1/1997,84.4651
10/1/1997,85.1918
11/1/1997,85.9397
12/1/1997,86.2047
1/1/1998,86.6474
2/1/1998,86.7612
3/1/1998,86.8198
4/1/1998,87.1411
5/1/1998,87.6952
6/1/1998,87.145
7/1/1998,86.8423
8/1/1998,88.6247
9/1/1998,88.4515
10/1/1998,89.1677
11/1/1998,89.1098
12/1/1998,89.4407
1/1/1999,89.8594
2/1/1999,90.3386
3/1/1999,90.4819
4/1/1999,90.7274
5/1/1999,91.352
6/1/1999,91.1994
7/1/1999,91.7766
8/1/1999,92.1629
9/1/1999,91.774
10/1/1999,92.9979
11/1/1999,93.4371
12/1/1999,94.1593
1/1/2000,94.1758
2/1/2000,94.4557
3/1/2000,94.798
4/1/2000,95.4808
5/1/2000,95.6435
6/1/2000,95.7353
7/1/2000,95.5906
8/1/2000,95.3112
9/1/2000,95.679
10/1/2000,95.397
11/1/2000,95.4229
12/1/2000,95.1573
1/1/2001,94.5448
2/1/2001,93.9398
3/1/2001,93.7201
4/1/2001,93.4469
5/1/2001,92.876
6/1/2001,92.3208
7/1/2001,91.7933
8/1/2001,91.6795
9/1/2001,91.3289
10/1/2001,90.9315
11/1/2001,90.486
12/1/2001,90.5073
1/1/2002,91.0794
2/1/2002,91.0553
3/1/2002,91.798
4/1/2002,92.1771
5/1/2002,92.5668
6/1/2002,93.4476
7/1/2002,93.2237
8/1/2002,93.2359
9/1/2002,93.3654
10/1/2002,93.0834
11/1/2002,93.5693
12/1/2002,93.1103
1/1/2003,93.8198
2/1/2003,93.9532
3/1/2003,93.7358
4/1/2003,93.0657
5/1/2003,93.0918
6/1/2003,93.2476
7/1/2003,93.6582
8/1/2003,93.5246
9/1/2003,94.0751
10/1/2003,94.2079
11/1/2003,94.9338
12/1/2003,94.8662
1/1/2004,95.1085
2/1/2004,95.6847
3/1/2004,95.2088
4/1/2004,95.6385
5/1/2004,96.3966
6/1/2004,95.6019
7/1/2004,96.3385
8/1/2004,96.4095
9/1/2004,96.4907
10/1/2004,97.4094
11/1/2004,97.6137
12/1/2004,98.3318
1/1/2005,98.7845
2/1/2005,99.4639
3/1/2005,99.3061
4/1/2005,99.4734
5/1/2005,99.6033
6/1/2005,99.9853
7/1/2005,99.6692
8/1/2005,99.9435
9/1/2005,98.0779
10/1/2005,99.3149
11/1/2005,100.3216
12/1/2005,100.9437
1/1/2006,101.0627
2/1/2006,101.0669
3/1/2006,101.2751
4/1/2006,101.6813
5/1/2006,101.579
6/1/2006,101.9693
7/1/2006,101.9319
8/1/2006,102.3327
9/1/2006,102.1252
10/1/2006,102.0668
11/1/2006,101.9688
12/1/2006,103.0292
1/1/2007,102.4933
2/1/2007,103.5264
3/1/2007,103.7521
4/1/2007,104.4814
5/1/2007,104.5322
6/1/2007,104.5617
7/1/2007,104.5227
8/1/2007,104.7556
9/1/2007,105.1611
10/1/2007,104.7171
11/1/2007,105.3338
12/1/2007,105.3457
1/1/2008,105.0619
2/1/2008,104.7094
3/1/2008,104.4616
4/1/2008,103.6704
5/1/2008,103.0863
6/1/2008,102.8445
7/1/2008,102.3002
8/1/2008,100.7353
9/1/2008,96.3666
10/1/2008,97.2832
11/1/2008,96.0605
12/1/2008,93.2521
1/1/2009,91.0373
2/1/2009,90.4502
3/1/2009,89.016
4/1/2009,88.3056
5/1/2009,87.4155
6/1/2009,87.0742
7/1/2009,88.0323
8/1/2009,89.019
9/1/2009,89.6926
10/1/2009,89.9797
11/1/2009,90.3375
12/1/2009,90.6132
1/1/2010,91.6642
2/1/2010,91.994
3/1/2010,92.5993
4/1/2010,92.9436
5/1/2010,94.2997
6/1/2010,94.4397
7/1/2010,94.8536
8/1/2010,95.1448
9/1/2010,95.3637
10/1/2010,95.1109
11/1/2010,95.1383
12/1/2010,96.0599
1/1/2011,95.9364
2/1/2011,95.5154
3/1/2011,96.4643
4/1/2011,96.1187
5/1/2011,96.3377
6/1/2011,96.6154
7/1/2011,97.1292
8/1/2011,97.6731
9/1/2011,97.6494
10/1/2011,98.3222
11/1/2011,98.2433
12/1/2011,98.7876
1/1/2012,99.3925
2/1/2012,99.6203
3/1/2012,99.1551
4/1/2012,99.9006
5/1/2012,100.0924
6/1/2012,100.0728
7/1/2012,100.3354
8/1/2012,99.856
9/1/2012,99.9049
10/1/2012,100.1167
11/1/2012,100.5991
12/1/2012,100.9542
1/1/2013,100.8204
2/1/2013,101.3995
3/1/2013,101.8114
4/1/2013,101.6364
5/1/2013,101.7476
6/1/2013,101.9549
7/1/2013,101.5204
8/1/2013,102.1907
9/1/2013,102.717
10/1/2013,102.5371
11/1/2013,102.8379
12/1/2013,103.1504
1/1/2014,102.7216
2/1/2014,103.5917
3/1/2014,104.5889
4/1/2014,104.6371
5/1/2014,105.0152
6/1/2014,105.4081
7/1/2014,105.6157
8/1/2014,105.4986
9/1/2014,105.8138
10/1/2014,105.8357
11/1/2014,106.6634
12/1/2014,106.5085
1/1/2015,105.9806
2/1/2015,105.4425
3/1/2015,105.1464
4/1/2015,104.5272
5/1/2015,104.0742
6/1/2015,103.7174
7/1/2015,104.3243
8/1/2015,104.1621
9/1/2015,103.7768
10/1/2015,103.3976
11/1/2015,102.6866
12/1/2015,102.1014
1/1/2016,102.9525
2/1/2016,102.2225
3/1/2016,101.4155
4/1/2016,101.5167
5/1/2016,101.4298
6/1/2016,101.8747
7/1/2016,102.1325
8/1/2016,102.0407
9/1/2016,102.0477
10/1/2016,102.2485
11/1/2016,102.0507
12/1/2016,102.9281
1/1/2017,103.0366
2/1/2017,102.6479
3/1/2017,103.343
4/1/2017,104.2721
5/1/2017,104.4129
6/1/2017,104.5849
7/1/2017,104.5427
8/1/2017,104.0475
9/1/2017,104.0502
10/1/2017,105.6287
11/1/2017,106.193
12/1/2017,106.536
1/1/2018,106.2655
2/1/2018,106.6419
3/1/2018,107.2519
4/1/2018,108.2223
5/1/2018,107.3639
6/1/2018,108.1707
7/1/2018,108.652
8/1/2018,109.5246
9/1/2018,109.6749
10/1/2018,109.9165
11/1/2018,110.5067
12/1/2018,110.5516
1/1/2019,110.1185
2/1/2019,109.5631
3/1/2019,109.6811
4/1/2019,108.9888
5/1/2019,109.2264
6/1/2019,109.2774
7/1/2019,109.0852
8/1/2019,109.8543
9/1/2019,109.4725
10/1/2019,109.027
11/1/2019,110.0388
12/1/2019,109.6527
1/1/2020,109.1845
2/1/2020,109.2966
3/1/2020,104.5221
4/1/2020,91.2658
5/1/2020,92.0613
6/1/2020,97.8019
7/1/2020,101.8924
8/1/2020,102.6619
9/1/2020,102.6008
10/1/2020,103.5731
11/1/2020,103.9818
