year,month,excessequity,excessequity3mo,log_e_eom,log_q_eom,cip_govt_3m_2020,diffy_3m_2020,log_ip_oecd_USD,diff_log_ip
1956,1,,,0,0,,,0,0
1956,2,,,0,0,,,0,0
1956,3,,,0,0,,,0,0
1956,4,,,0,0,,,0,0
1956,5,,,0,0,,,0,0
1956,6,,,0,0,,,0,0
1956,7,,,0,0,,,0,0
1956,8,,,0,0,,,0,0
1956,9,,,0,0,,,0,0
1956,10,,,0,0,,,0,0
1956,11,,,0,0,,,0,0
1956,12,,,0,0,,,0,0
1957,1,,,0,0,,,0,0
1957,2,,,0,0,,,0,0
1957,3,,,0,0,,,0,0
1957,4,,,0,0,,,0,0
1957,5,,,0,0,,,0,0
1957,6,,,0,0,,,0,0
1957,7,,,0,0,,,0,0
1957,8,,,0,0,,,0,0
1957,9,,,0,0,,,0,0
1957,10,,,0,0,,,0,0
1957,11,,,0,0,,,0,0
1957,12,,,0,0,,,0,0
1958,1,,,0,0,,,0,0
1958,2,,,0,0,,,0,0
1958,3,,,0,0,,,0,0
1958,4,,,0,0,,,0,0
1958,5,,,0,0,,,0,0
1958,6,,,0,0,,,0,0
1958,7,,,0,0,,,0,0
1958,8,,,0,0,,,0,0
1958,9,,,0,0,,,0,0
1958,10,,,0,0,,,0,0
1958,11,,,0,0,,,0,0
1958,12,,,0,0,,,0,0
1959,1,,,0,0,,,0,0
1959,2,,,0,0,,,0,0
1959,3,,,0,0,,,0,0
1959,4,,,0,0,,,0,0
1959,5,,,0,0,,,0,0
1959,6,,,0,0,,,0,0
1959,7,,,0,0,,,0,0
1959,8,,,0,0,,,0,0
1959,9,,,0,0,,,0,0
1959,10,,,0,0,,,0,0
1959,11,,,0,0,,,0,0
1959,12,,,0,0,,,0,0
1960,1,,,0,0,,,0,0
1960,2,,,0,0,,,0,0
1960,3,,,0,0,,,0,0
1960,4,,,0,0,,,0,0
1960,5,,,0,0,,,0,0
1960,6,,,0,0,,,0,0
1960,7,,,0,0,,,0,0
1960,8,,,0,0,,,0,0
1960,9,,,0,0,,,0,0
1960,10,,,0,0,,,0,0
1960,11,,,0,0,,,0,0
1960,12,,,0,0,,,0,0
1961,1,,,0,0,,,0,0
1961,2,,,0,0,,,0,0
1961,3,,,0,0,,,0,0
1961,4,,,0,0,,,0,0
1961,5,,,0,0,,,0,0
1961,6,,,0,0,,,0,0
1961,7,,,0,0,,,0,0
1961,8,,,0,0,,,0,0
1961,9,,,0,0,,,0,0
1961,10,,,0,0,,,0,0
1961,11,,,0,0,,,0,0
1961,12,,,0,0,,,0,0
1962,1,,,0,0,,,0,0
1962,2,,,0,0,,,0,0
1962,3,,,0,0,,,0,0
1962,4,,,0,0,,,0,0
1962,5,,,0,0,,,0,0
1962,6,,,0,0,,,0,0
1962,7,,,0,0,,,0,0
1962,8,,,0,0,,,0,0
1962,9,,,0,0,,,0,0
1962,10,,,0,0,,,0,0
1962,11,,,0,0,,,0,0
1962,12,,,0,0,,,0,0
1963,1,,,0,0,,,0,0
1963,2,,,0,0,,,0,0
1963,3,,,0,0,,,0,0
1963,4,,,0,0,,,0,0
1963,5,,,0,0,,,0,0
1963,6,,,0,0,,,0,0
1963,7,,,0,0,,,0,0
1963,8,,,0,0,,,0,0
1963,9,,,0,0,,,0,0
1963,10,,,0,0,,,0,0
1963,11,,,0,0,,,0,0
1963,12,,,0,0,,,0,0
1964,1,,,0,0,,,0,0
1964,2,,,0,0,,,0,0
1964,3,,,0,0,,,0,0
1964,4,,,0,0,,,0,0
1964,5,,,0,0,,,0,0
1964,6,,,0,0,,,0,0
1964,7,,,0,0,,,0,0
1964,8,,,0,0,,,0,0
1964,9,,,0,0,,,0,0
1964,10,,,0,0,,,0,0
1964,11,,,0,0,,,0,0
1964,12,,,0,0,,,0,0
1965,1,,,0,0,,,0,0
1965,2,,,0,0,,,0,0
1965,3,,,0,0,,,0,0
1965,4,,,0,0,,,0,0
1965,5,,,0,0,,,0,0
1965,6,,,0,0,,,0,0
1965,7,,,0,0,,,0,0
1965,8,,,0,0,,,0,0
1965,9,,,0,0,,,0,0
1965,10,,,0,0,,,0,0
1965,11,,,0,0,,,0,0
1965,12,,,0,0,,,0,0
1966,1,,,0,0,,,0,0
1966,2,,,0,0,,,0,0
1966,3,,,0,0,,,0,0
1966,4,,,0,0,,,0,0
1966,5,,,0,0,,,0,0
1966,6,,,0,0,,,0,0
1966,7,,,0,0,,,0,0
1966,8,,,0,0,,,0,0
1966,9,,,0,0,,,0,0
1966,10,,,0,0,,,0,0
1966,11,,,0,0,,,0,0
1966,12,,,0,0,,,0,0
1967,1,,,0,0,,,0,0
1967,2,,,0,0,,,0,0
1967,3,,,0,0,,,0,0
1967,4,,,0,0,,,0,0
1967,5,,,0,0,,,0,0
1967,6,,,0,0,,,0,0
1967,7,,,0,0,,,0,0
1967,8,,,0,0,,,0,0
1967,9,,,0,0,,,0,0
1967,10,,,0,0,,,0,0
1967,11,,,0,0,,,0,0
1967,12,,,0,0,,,0,0
1968,1,,,0,0,,,0,0
1968,2,,,0,0,,,0,0
1968,3,,,0,0,,,0,0
1968,4,,,0,0,,,0,0
1968,5,,,0,0,,,0,0
1968,6,,,0,0,,,0,0
1968,7,,,0,0,,,0,0
1968,8,,,0,0,,,0,0
1968,9,,,0,0,,,0,0
1968,10,,,0,0,,,0,0
1968,11,,,0,0,,,0,0
1968,12,,,0,0,,,0,0
1969,1,,,0,0,,,0,0
1969,2,,,0,0,,,0,0
1969,3,,,0,0,,,0,0
1969,4,,,0,0,,,0,0
1969,5,,,0,0,,,0,0
1969,6,,,0,0,,,0,0
1969,7,,,0,0,,,0,0
1969,8,,,0,0,,,0,0
1969,9,,,0,0,,,0,0
1969,10,,,0,0,,,0,0
1969,11,,,0,0,,,0,0
1969,12,,,0,0,,,0,0
1970,1,,,0,0,,,0,0
1970,2,,,0,0,,,0,0
1970,3,,,0,0,,,0,0
1970,4,,,0,0,,,0,0
1970,5,,,0,0,,,0,0
1970,6,,,0,0,,,0,0
1970,7,,,0,0,,,0,0
1970,8,,,0,0,,,0,0
1970,9,,,0,0,,,0,0
1970,10,,,0,0,,,0,0
1970,11,,,0,0,,,0,0
1970,12,,,0,0,,,0,0
1971,1,,,0,0,,,0,0
1971,2,,,-.035167586,0,,,0,0
1971,3,,,-.078405425,0,,,0,0
1971,4,,,-.040105417,0,,,0,0
1971,5,,,-.051504448,0,,,0,0
1971,6,,,.12376931,0,,,0,0
1971,7,,,.067386456,0,,,0,0
1971,8,,,-2.1379514,0,,,0,0
1971,9,,,-3.0974872,0,,,0,0
1971,10,,,-3.6395285,0,,,0,0
1971,11,,,-4.0883722,0,,,0,0
1971,12,,,-6.1432853,0,,,0,0
1972,1,,,-6.98633,0,,,0,0
1972,2,,,-7.7721667,0,,,0,0
1972,3,,,-7.9971991,0,,,0,0
1972,4,,,-7.9680667,0,,,0,0
1972,5,,,-8.6693439,0,,,0,0
1972,6,,,-7.7626758,0,,,0,0
1972,7,,,-7.7033997,0,,,0,0
1972,8,,,-7.8383145,0,,,0,0
1972,9,,,-6.5675735,0,,,0,0
1972,10,,,-6.6979995,0,,,0,0
1972,11,,,-6.9049902,0,,,0,0
1972,12,,,-6.7023678,0,,,0,0
1973,1,,,-7.2850232,0,,,0,0
1973,2,,,-14.335351,0,,,0,0
1973,3,,,-14.124266,0,,,0,0
1973,4,,,-13.853654,0,,,0,0
1973,5,,,-16.897839,0,,,0,0
1973,6,,,-20.049719,0,,,0,0
1973,7,,,-19.78273,0,,,0,0
1973,8,,,-17.041918,0,,,0,0
1973,9,,,-17.099979,0,,,0,0
1973,10,,,-17.500124,0,,,0,0
1973,11,,,-13.670568,0,,,0,0
1973,12,,,-12.176325,0,,,0,0
1974,1,,,-9.1379805,0,,,0,0
1974,2,,,-11.987215,0,,,0,0
1974,3,,,-15.361432,0,,,0,0
1974,4,,,-16.931292,0,,,0,0
1974,5,,,-15.961509,0,,,0,0
1974,6,,,-15.110208,0,,,0,0
1974,7,,,-14.553453,0,,,0,0
1974,8,,,-12.257701,0,,,0,0
1974,9,,,-12.83484,0,,,0,0
1974,10,,,-13.644341,0,,,0,0
1974,11,,,-14.816311,0,,,0,0
1974,12,,,-16.574806,0,,,0,0
1975,1,,,-17.780169,0,,,0,0
1975,2,,,-20.320116,0,,,0,0
1975,3,,,-19.415213,0,,,0,0
1975,4,,,-18.198427,0,,,0,0
1975,5,,,-18.425674,0,,,0,0
1975,6,,,-17.090895,0,,,0,0
1975,7,,,-12.249905,0,,,0,0
1975,8,,,-11.189385,0,,,0,0
1975,9,,,-8.92307,0,,,0,0
1975,10,,,-11.283916,0,,,0,0
1975,11,,,-9.8481207,0,,,0,0
1975,12,,,-9.5712481,0,,,0,0
1976,1,,,-10.170465,0,,,0,0
1976,2,,,-10.411745,0,,,0,0
1976,3,,,-9.8376217,0,,,0,0
1976,4,,,-9.7268353,0,,,0,0
1976,5,,,-8.1781111,0,,,0,0
1976,6,,,-8.6223669,0,,,0,0
1976,7,,,-8.8902464,0,,,0,0
1976,8,,,-9.3615685,0,,,0,0
1976,9,,,-10.187596,0,,,0,0
1976,10,,,-9.3249302,0,,,0,0
1976,11,,,-8.9412661,0,,,0,0
1976,12,,,-10.889978,0,,,0,0
1977,1,,,-9.7325945,0,,,0,0
1977,2,,,-10.037688,0,,,0,0
1977,3,,,-10.492104,0,,,0,0
1977,4,,,-9.6482973,0,,,0,0
1977,5,,,-9.3177767,0,,,0,0
1977,6,,,-9.5408049,0,,,0,0
1977,7,,,-9.8163233,0,,,0,0
1977,8,,,-7.0131164,0,,,0,0
1977,9,,,-7.3835454,0,,,0,0
1977,10,,,-9.1201963,0,,,0,0
1977,11,,,-9.1921511,0,,,0,0
1977,12,,,-12.976703,0,,,0,0
1978,1,,,-13.165865,0,,,0,0
1978,2,,,-13.414454,0,,,0,0
1978,3,,,-13.113871,0,,,0,0
1978,4,,,-12.307894,0,,,0,0
1978,5,,,-12.701509,0,,,0,0
1978,6,,,-14.59372,0,,,0,0
1978,7,,,-17.070696,0,,,0,0
1978,8,,,-17.482529,0,,,0,0
1978,9,,,-18.262152,0,,,0,0
1978,10,,,-24.310888,0,,,0,0
1978,11,,,-17.29463,0,,,0,0
1978,12,,,-20.16478,0,,,0,0
1979,1,,,-17.644672,0,,,0,0
1979,2,,,-18.336647,-.58699745,,,0,0
1979,3,,,-18.415585,-.4802742,,,0,0
1979,4,,,-17.092863,.73267519,,,0,0
1979,5,,,-16.381903,1.8342984,,,0,0
1979,6,,,-18.75708,-1.3372867,,,0,0
1979,7,,,-19.679955,-3.5185409,,,0,0
1979,8,,,-19.527161,-3.668093,,,0,0
1979,9,,,-20.420116,-5.1342864,,,0,0
1979,10,,,-16.402893,-.80715704,,,0,0
1979,11,,,-17.103989,-2.7226627,,,0,0
1979,12,,,-18.157145,-2.5666037,,,0,0
1980,1,,,-18.563314,-3.4557054,,,0,0
1980,2,,,-17.458523,-2.9345062,,,0,0
1980,3,,,-12.580587,3.7638295,,,0,0
1980,4,,,-17.144184,-2.3072073,,,0,0
1980,5,,,-19.989241,-4.112464,,,0,0
1980,6,,,-20.807013,-4.5649304,,,0,0
1980,7,,,-19.703535,-4.989934,,,0,0
1980,8,,,-20.730642,-5.2430577,,,0,0
1980,9,,,-20.979589,-5.3451796,,,0,0
1980,10,,,-19.789152,-3.5787044,,,0,0
1980,11,,,-17.861858,-1.3467555,,,0,0
1980,12,,,-18.166943,.12548153,,,0,0
1981,1,,,-14.520242,4.5643229,,,0,0
1981,2,,,-12.682414,6.5308008,,,0,0
1981,3,,,-13.323536,4.885314,,,0,0
1981,4,,,-10.379557,7.8532777,,,0,0
1981,5,,,-6.9676104,11.763302,,,0,0
1981,6,,,-3.9938786,16.057962,,,0,0
1981,7,,,-.42869896,19.475023,,,0,0
1981,8,,,-2.0595961,19.036165,,,0,0
1981,9,,,-1.4727775,19.824926,,,0,0
1981,10,,,-2.246562,18.422985,,,0,0
1981,11,,,-6.1726394,14.865338,,,0,0
1981,12,,,-4.5303817,16.566383,,,0,0
1982,1,,,-1.7762351,18.187914,,,0,0
1982,2,,,1.3425407,20.905693,,,0,0
1982,3,,,3.5966873,22.20911,,,0,0
1982,4,,,1.1460857,19.470152,,,0,0
1982,5,,,2.3875759,20.360096,,,0,0
1982,6,,,6.7956476,25.427042,,,0,0
1982,7,,,7.1116133,26.048937,,,0,0
1982,8,,,8.2672405,27.79237,,,0,0
1982,9,,,10.151029,29.393879,,,0,0
1982,10,,,14.532944,34.808102,,,0,0
1982,11,,,12.038804,32.740349,,,0,0
1982,12,,,10.442072,31.669767,,,0,0
1983,1,,,13.218612,34.168468,,,0,0
1983,2,,,12.997195,33.998581,,,0,0
1983,3,,,13.65406,34.5228,,,0,0
1983,4,,,12.618839,33.131542,,,0,0
1983,5,,,12.927643,33.269051,,,0,0
1983,6,,,14.312122,35.171394,,,0,0
1983,7,,,15.882591,37.00034,,,0,0
1983,8,,,17.444736,38.872723,,,0,0
1983,9,,,15.683233,36.881535,,,0,0
1983,10,,,15.705746,36.92482,,,0,0
1983,11,,,17.050041,38.747269,,,0,0
1983,12,,,17.973362,40.01564,,,0,0
1984,1,,,20.127396,42.932755,,,0,0
1984,2,,,16.200153,37.21376,,,0,0
1984,3,,,16.380478,37.403019,,,0,0
1984,4,,,18.935333,40.534931,,,0,0
1984,5,,,20.005207,41.117153,,,0,0
1984,6,,,21.938179,42.848423,,,0,0
1984,7,,,24.946404,46.974232,,,0,0
1984,8,,,24.002459,45.938026,,,0,0
1984,9,,,28.334347,51.246208,,,0,0
1984,10,,,28.056665,50.895241,,,0,0
1984,11,,,29.562113,52.521759,,,0,0
1984,12,,,30.989521,54.048992,,,0,0
1985,1,,,31.910583,54.665386,,,0,0
